model,protein
X-1169,12621
X-1169,3502
X-1169,8236
X-1169,10617
X-1169,16426
X-1169,11633
X-1169,7670
X-1169,12706
X-1169,4967
X-1169,9703
X-1169,3217
X-1169,9666
X-1169,9700
X-1169,9668
X-1169,9670
X-1169,9671
X-1169,9674
X-1169,9676
X-1169,4390
X-1169,11742
X-1169,3195
X-1169,7924
X-1169,10292
X-1169,4803
X-1169,5255
X-1169,7003
X-1169,10152
X-1169,9561
X-1169,2891
X-1169,14604
X-1169,14360
X-1169,13584
X-1169,967
X-1169,11669
X-1169,853
X-1169,16564
X-1169,1605
X-1169,7497
X-1169,1604
X-1169,793
X-1169,10376
X-1169,12615
X-1172,16086
X-1172,16086
X-1172,15054
X-1172,13661
X-1172,8855
X-1172,11704
X-1172,11658
X-1172,6566
X-1172,4544
X-1172,12526
X-1172,5220
X-1172,11474
X-1172,2280
X-1172,15960
X-1172,8555
X-1172,6308
X-1172,15810
X-1172,16327
X-1172,8959
X-1172,15292
X-1172,2728
X-1172,12914
X-1172,7666
X-1172,12164
X-1172,7118
X-1172,5387
X-1172,14800
X-1172,1021
X-1172,15378
X-1172,8308
X-1172,3308
X-1172,11191
X-1172,848
X-1172,10125
X-1172,15080
X-1172,12062
X-1172,12933
X-1172,4394
X-1172,9587
X-1172,12704
X-1172,13973
X-1172,7414
X-1172,10210
X-1172,4688
X-1172,15272
X-1172,1405
X-1172,12021
X-1172,13026
X-1172,15853
X-1172,15737
X-1172,2420
X-1172,839
X-1172,12653
X-1172,9676
X-1172,15792
X-1172,14202
X-1172,12277
X-1172,15592
X-1172,3116
X-1172,6231
X-1172,16441
X-1172,16081
X-1172,6814
X-1172,5806
X-1172,5172
X-1172,13948
X-1172,9811
X-1172,6256
X-1172,13077
X-1172,4700
X-1172,2414
X-1172,13887
X-1172,8106
X-1172,15774
X-1172,990
X-1172,7902
X-1172,14488
X-1172,10665
X-1172,10779
X-1172,9093
X-1172,12126
X-1172,12652
X-1172,16166
X-1172,15793
X-1172,625
X-1172,723
X-1172,8232
X-1172,16586
X-1172,12375
X-1172,16177
X-1172,16199
X-1172,15967
X-1172,8229
X-1172,15123
X-1172,13425
X-1172,2010
X-1172,14775
X-1172,16191
X-1172,3341
X-1172,14718
X-1172,5539
X-1172,5673
X-1172,9981
X-1172,10289
X-1172,2391
X-1172,15850
X-1172,8234
X-1172,6423
X-1172,16860
X-1172,3186
X-1172,13227
X-1172,15394
X-1172,13324
X-1172,16278
X-1172,6145
X-1172,1513
X-1172,13736
X-1172,16374
X-1172,7903
X-1172,15186
X-1172,8223
X-1172,14523
X-1172,15369
X-1172,8499
X-1172,9639
X-1172,3245
X-1172,12621
X-1172,3502
X-1172,8236
X-1172,10617
X-1172,16426
X-1172,11633
X-1172,7670
X-1172,12706
X-1172,4967
X-1172,9703
X-1172,3217
X-1172,9671
X-1172,9988
X-1172,15776
X-1172,12079
X-1172,6060
X-1172,13660
X-1172,967
X-1172,11669
X-1172,853
X-1172,16564
X-1172,12294
X-1172,7497
X-1172,11624
X-1172,10771
X-1172,15357
X-1172,5110
X-1172,10376
X-1172,12615
X-1173,16086
X-1173,16086
X-1173,13661
X-1173,12526
X-1173,8233
X-1173,15739
X-1173,9492
X-1173,2280
X-1173,294
X-1173,1233
X-1173,12413
X-1173,5219
X-1173,4121
X-1173,15960
X-1173,7273
X-1173,11662
X-1173,15667
X-1173,14086
X-1173,4804
X-1173,8555
X-1173,6308
X-1173,15810
X-1173,11921
X-1173,16327
X-1173,15292
X-1173,12544
X-1173,13168
X-1173,12518
X-1173,14355
X-1173,10967
X-1173,16068
X-1173,6086
X-1173,1935
X-1173,864
X-1173,1338
X-1173,14694
X-1173,15042
X-1173,6335
X-1173,12914
X-1173,4076
X-1173,1049
X-1173,2203
X-1173,15498
X-1173,703
X-1173,7666
X-1173,12164
X-1173,14367
X-1173,7118
X-1173,5387
X-1173,14800
X-1173,15229
X-1173,1021
X-1173,2582
X-1173,4326
X-1173,15378
X-1173,13421
X-1173,3308
X-1173,11191
X-1173,16452
X-1173,848
X-1173,1587
X-1173,10125
X-1173,15080
X-1173,12062
X-1173,12933
X-1173,5074
X-1173,12704
X-1173,13973
X-1173,9810
X-1173,10210
X-1173,15272
X-1173,1405
X-1173,996
X-1173,16993
X-1173,13356
X-1173,17083
X-1173,13026
X-1173,991
X-1173,12008
X-1173,9165
X-1173,15853
X-1173,10478
X-1173,15737
X-1173,12633
X-1173,1675
X-1173,2420
X-1173,4887
X-1173,6764
X-1173,9676
X-1173,15792
X-1173,3647
X-1173,15816
X-1173,10188
X-1173,14979
X-1173,3452
X-1173,12277
X-1173,4467
X-1173,16441
X-1173,479
X-1173,16081
X-1173,6814
X-1173,13948
X-1173,10553
X-1173,8501
X-1173,6256
X-1173,14798
X-1173,4700
X-1173,1664
X-1173,2872
X-1173,8106
X-1173,8250
X-1173,12865
X-1173,10694
X-1173,14488
X-1173,10665
X-1173,10779
X-1173,9093
X-1173,5383
X-1173,12126
X-1173,12652
X-1173,5493
X-1173,16166
X-1173,15793
X-1173,625
X-1173,723
X-1173,8232
X-1173,16586
X-1173,13574
X-1173,12375
X-1173,16177
X-1173,16199
X-1173,15967
X-1173,14758
X-1173,8229
X-1173,15123
X-1173,13425
X-1173,14608
X-1173,12445
X-1173,2010
X-1173,14775
X-1173,16191
X-1173,8230
X-1173,3341
X-1173,14718
X-1173,5539
X-1173,9200
X-1173,5673
X-1173,17148
X-1173,9981
X-1173,14136
X-1173,7725
X-1173,10289
X-1173,2391
X-1173,15850
X-1173,8234
