model,protein
X-1095,16199
X-1095,8231
X-1095,15967
X-1095,14758
X-1095,8229
X-1095,15123
X-1095,13425
X-1095,14608
X-1095,12445
X-1095,2010
X-1095,14775
X-1095,16191
X-1095,8230
X-1095,3341
X-1095,14718
X-1095,5539
X-1095,9200
X-1095,5673
X-1095,17148
X-1095,9981
X-1095,14136
X-1095,7725
X-1095,10289
X-1095,2391
X-1095,15850
X-1095,8234
X-1095,6423
X-1095,1068
X-1095,16860
X-1095,3186
X-1095,13227
X-1095,15394
X-1095,13324
X-1095,16278
X-1095,6145
X-1095,1513
X-1095,13736
X-1095,16374
X-1095,7903
X-1095,15186
X-1095,8223
X-1095,4438
X-1095,14523
X-1095,15369
X-1095,8499
X-1095,9639
X-1095,3245
X-1095,12621
X-1095,3502
X-1095,8236
X-1095,10617
X-1095,16426
X-1095,11633
X-1095,7670
X-1095,12706
X-1095,4967
X-1095,8238
X-1095,9703
X-1095,3217
X-1095,9666
X-1095,9670
X-1095,9671
X-1095,4390
X-1095,15859
X-1095,14594
X-1095,16819
X-1095,15705
X-1095,809
X-1095,11153
X-1095,10219
X-1095,14603
X-1095,14461
X-1095,4444
X-1095,7925
X-1095,4803
X-1095,12079
X-1095,6060
X-1095,3509
X-1095,7422
X-1095,746
X-1095,9561
X-1095,2340
X-1095,15228
X-1095,14604
X-1095,13660
X-1095,13584
X-1095,3999
X-1095,967
X-1095,11669
X-1095,853
X-1095,16564
X-1095,1605
X-1095,12294
X-1095,7497
X-1095,11624
X-1095,7856
X-1095,6426
X-1095,10771
X-1095,13532
X-1095,5110
X-1095,8751
X-1095,5516
X-1095,2847
X-1095,10376
X-1095,12615
X-1119,15488
X-1119,16086
X-1119,16086
X-1119,1579
X-1119,588
X-1119,10234
X-1119,13661
X-1119,5438
X-1119,12526
X-1119,11123
X-1119,8819
X-1119,13951
X-1119,8233
X-1119,3788
X-1119,11332
X-1119,15535
X-1119,3120
X-1119,4304
X-1119,829
X-1119,10350
X-1119,7496
X-1119,15739
X-1119,9492
X-1119,12945
X-1119,2280
X-1119,294
X-1119,1233
X-1119,12413
X-1119,5219
X-1119,4121
X-1119,4014
X-1119,15363
X-1119,6960
X-1119,7420
X-1119,11219
X-1119,7965
X-1119,15960
X-1119,7273
X-1119,1568
X-1119,11662
X-1119,15667
X-1119,14086
X-1119,4804
X-1119,2242
X-1119,8555
X-1119,6308
X-1119,1333
X-1119,13917
X-1119,12804
X-1119,9337
X-1119,15810
X-1119,11921
X-1119,13332
X-1119,4799
X-1119,16327
X-1119,216
X-1119,15292
X-1119,14731
X-1119,12544
X-1119,16718
X-1119,12518
X-1119,14355
X-1119,8938
X-1119,10967
X-1119,1181
X-1119,5498
X-1119,16068
X-1119,6086
X-1119,1935
X-1119,864
X-1119,1338
X-1119,9938
X-1119,14694
X-1119,15042
X-1119,6335
X-1119,7163
X-1119,12914
X-1119,4076
X-1119,1049
X-1119,8693
X-1119,2203
X-1119,6047
X-1119,1475
X-1119,15498
X-1119,12193
X-1119,703
X-1119,7666
X-1119,12164
X-1119,14367
X-1119,7118
X-1119,5387
X-1119,14800
X-1119,15229
X-1119,10759
X-1119,1021
X-1119,2582
X-1119,4101
X-1119,9340
X-1119,4326
X-1119,15378
X-1119,3308
X-1119,11191
X-1119,16452
X-1119,5290
X-1119,848
X-1119,12631
X-1119,1587
X-1119,11693
X-1119,5150
X-1119,15080
X-1119,10055
X-1119,48
X-1119,12062
X-1119,8241
X-1119,10647
X-1119,12933
X-1119,9273
X-1119,4394
X-1119,9587
X-1119,5074
X-1119,12704
X-1119,13973
X-1119,11026
X-1119,11087
X-1119,2039
X-1119,14002
X-1119,7899
X-1119,8708
X-1119,7414
X-1119,10210
X-1119,4688
X-1119,6556
X-1119,15272
X-1119,1405
X-1119,996
X-1119,16993
X-1119,7959
X-1119,13356
X-1119,13026
X-1119,15276
X-1119,11464
X-1119,12360
X-1119,6944
X-1119,12008
X-1119,9165
X-1119,150
X-1119,15853
X-1119,4302
X-1119,15737
X-1119,1675
X-1119,2420
X-1119,4887
X-1119,12202
X-1119,9597
X-1119,16798
X-1119,2139
X-1119,10595
X-1119,6764
X-1119,13270
X-1119,9676
X-1119,10191
X-1119,5369
X-1119,1278
X-1119,17103
X-1119,12537
X-1119,16359
X-1119,449
X-1119,16170
X-1119,15792
X-1119,3647
X-1119,15816
X-1119,16445
X-1119,10188
X-1119,14979
X-1119,14732
X-1119,14773
X-1119,3452
X-1119,10465
X-1119,12277
X-1119,7142
X-1119,4467
X-1119,13531
X-1119,16441
X-1119,14956
X-1119,16081
X-1119,6814
X-1119,5806
X-1119,14753
X-1119,5172
X-1119,4740
X-1119,13948
X-1119,10553
